Project,Bug_ID,Technique,Owner,Master_Status,Audit_Status,Target_Classes,Candidate_Files,Candidate_Packages,Target_Match_Files,Candidate_SHA256
Closure,103,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.ControlFlowAnalysis;com.google.javascript.jscomp.DisambiguateProperties,,,,
Closure,104,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.jstype.UnionType,,,,
Closure,105,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FoldConstants,,,,
Closure,107,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CommandLineRunner,,,,
Closure,108,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.ScopedAliases,,,,
Closure,109,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.parsing.JsDocInfoParser,,,,
Closure,110,IPO (Native IPO),Member 1 — IPO,NO_SUITE,UNVERIFIED_IPO_CANDIDATE,com.google.javascript.jscomp.ScopedAliases;com.google.javascript.rhino.Node,Combinatorial_IPO\TestCode\Closure_110b\com\google\javascript\rhino\Node_IPOTest.java,com.google.javascript.rhino,Combinatorial_IPO\TestCode\Closure_110b\com\google\javascript\rhino\Node_IPOTest.java,6ee1ec4173735f5166f82ab38d878bb567144ef6f97ba936a700d12a801674e0
Closure,111,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.type.ClosureReverseAbstractInterpreter,,,,
Closure,112,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeInference,,,,
Closure,113,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.ProcessClosurePrimitives,,,,
Closure,114,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.NameAnalyzer,,,,
Closure,115,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FunctionInjector,,,,
Closure,116,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FunctionInjector,,,,
Closure,117,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeValidator,,,,
Closure,118,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.DisambiguateProperties,,,,
Closure,119,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.GlobalNamespace,,,,
Closure,120,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.ReferenceCollectingCallback,,,,
Closure,121,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.InlineVariables,,,,
Closure,122,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.parsing.IRFactory,,,,
Closure,122,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.parsing.IRFactory,Deepseek-v4_flash\TestCode\Closure_122b\IRFactoryDeepseekTest.java,com.google.javascript.jscomp.parsing,Deepseek-v4_flash\TestCode\Closure_122b\IRFactoryDeepseekTest.java,8ade16ba37cb612f0dbd62e36c57aa712e18bcfe8da6fe7f2e204970d04e83bf
Closure,122,Gemini 3.8 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.parsing.IRFactory,Gemini-3_8_flash\TestCode\Closure_122b\IRFactoryGeminiTest.java,com.google.javascript.jscomp.parsing,Gemini-3_8_flash\TestCode\Closure_122b\IRFactoryGeminiTest.java,67cd16b15ac12e95c4d200806ae6da22ad2b21263773a9dcd3920215e253d96a
Closure,123,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeGenerator,,,,
Closure,123,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.CodeGenerator,Deepseek-v4_flash\TestCode\Closure_123b\CodeGeneratorDeepseekTest.java,com.google.javascript.jscomp,Deepseek-v4_flash\TestCode\Closure_123b\CodeGeneratorDeepseekTest.java,b4d0450b4b0b7cc34bef5dae74178d3d914441d6cec2f959763417ba09fb2e10
Closure,123,Gemini 3.8 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.CodeGenerator,Gemini-3_8_flash\TestCode\Closure_123b\CodeGeneratorGeminiTest.java,com.google.javascript.jscomp,Gemini-3_8_flash\TestCode\Closure_123b\CodeGeneratorGeminiTest.java,373216b2e06d17bb086aac9cf3d8cd144a3879e147956d6988f8d9ba92f3ba98
Closure,124,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.ExploitAssigns,,,,
Closure,125,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeCheck,,,,
Closure,126,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.MinimizeExitPoints,,,,
Closure,127,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.UnreachableCodeElimination,,,,
Closure,128,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeGenerator,,,,
Closure,128,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.CodeGenerator,Deepseek-v4_flash\TestCode\Closure_128b\CodeGeneratorDeepseekTest.java,com.google.javascript.jscomp,Deepseek-v4_flash\TestCode\Closure_128b\CodeGeneratorDeepseekTest.java,85289e8be3677f5910f5dd16e68705d456e3b145b551e067c0b9004fa460b69e
Closure,128,Gemini 3.8 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.CodeGenerator,Gemini-3_8_flash\TestCode\Closure_128b\CodeGeneratorGeminiTest.java,com.google.javascript.jscomp,Gemini-3_8_flash\TestCode\Closure_128b\CodeGeneratorGeminiTest.java,efbc33229e471f93cbd39cddaf996886efa21d057df7873fc75a647d25c1f9b8
Closure,129,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.PrepareAst,,,,
Closure,130,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CollapseProperties,,,,
Closure,131,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.TokenStream,,,,
Closure,131,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.rhino.TokenStream,Deepseek-v4_flash\TestCode\Closure_131b\TokenStreamDeepseekTest.java,com.google.javascript.rhino,Deepseek-v4_flash\TestCode\Closure_131b\TokenStreamDeepseekTest.java,7987dc7fa89cbd8ce98bee2be06a8a94845cc9f668f759f04d38cf77d805387d
Closure,131,Gemini 3.8 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.rhino.TokenStream,Gemini-3_8_flash\TestCode\Closure_131b\TokenStreamGeminiTest.java,com.google.javascript.rhino,Gemini-3_8_flash\TestCode\Closure_131b\TokenStreamGeminiTest.java,1cee1ad94aea1169941f906e6ca02de1eb7f788bcdec129c99a1928e65ec1625
Closure,132,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,,,,
Closure,133,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.parsing.JsDocInfoParser,,,,
Closure,134,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.AmbiguateProperties;com.google.javascript.jscomp.TypedScopeCreator,,,,
Closure,135,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.DevirtualizePrototypeMethods;com.google.javascript.rhino.jstype.FunctionType,,,,
Closure,136,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.MethodCompilerPass;com.google.javascript.jscomp.RenameVars,,,,
Closure,138,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.ClosureReverseAbstractInterpreter;com.google.javascript.jscomp.TypeInference,,,,
Closure,139,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.Normalize,,,,
Closure,142,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CoalesceVariableNames;com.google.javascript.jscomp.parsing.JsDocInfoParser,,,,
Closure,143,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.AbstractCommandLineRunner;com.google.javascript.jscomp.RemoveConstantExpressions,,,,
Closure,144,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FunctionTypeBuilder;com.google.javascript.jscomp.TypedScopeCreator;com.google.javascript.rhino.jstype.FunctionBuilder;com.google.javascript.rhino.jstype.FunctionType,,,,
Closure,145,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeGenerator,,,,
Closure,146,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.jstype.JSType,,,,
Closure,147,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CheckGlobalThis;com.google.javascript.jscomp.RuntimeTypeCheck,,,,
Closure,148,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.PeepholeFoldConstants;com.google.javascript.jscomp.SourceMap,,,,
Closure,150,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypedScopeCreator,,,,
Closure,151,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CommandLineRunner,,,,
Closure,152,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.jstype.FunctionType,,,,
Closure,153,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.Normalize;com.google.javascript.jscomp.SyntacticScopeCreator,,,,
Closure,154,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeCheck;com.google.javascript.jscomp.TypeValidator,,,,
Closure,155,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.InlineVariables;com.google.javascript.jscomp.ReferenceCollectingCallback;com.google.javascript.jscomp.Scope,,,,
Closure,156,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CollapseProperties,,,,
Closure,157,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeGenerator;com.google.javascript.jscomp.parsing.IRFactory;com.google.javascript.jscomp.RenamePrototypes,,,,
Closure,158,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.AbstractCommandLineRunner;com.google.javascript.jscomp.CommandLineRunner;com.google.javascript.jscomp.DiagnosticGroups,,,,
Closure,159,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.InlineFunctions,,,,
Closure,161,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.PeepholeFoldConstants,,,,
Closure,162,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.Scope;com.google.javascript.jscomp.ScopedAliases,,,,
Closure,163,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.AnalyzePrototypeProperties;com.google.javascript.jscomp.CrossModuleMethodMotion,,,,
Closure,164,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.jstype.ArrowType,,,,
Closure,165,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.jstype.JSTypeRegistry;com.google.javascript.rhino.jstype.ObjectType;com.google.javascript.rhino.jstype.RecordType;com.google.javascript.rhino.jstype.RecordTypeBuilder,,,,
Closure,166,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.jstype.PrototypeObjectType,,,,
Closure,167,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.type.SemanticReverseAbstractInterpreter;com.google.javascript.rhino.jstype.JSType,,,,
Closure,168,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypedScopeCreator,,,,
Closure,169,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.jstype.ArrowType;com.google.javascript.rhino.jstype.EquivalenceMethod;com.google.javascript.rhino.jstype.FunctionType;com.google.javascript.rhino.jstype.JSType;com.google.javascript.rhino.jstype.RecordType;com.google.javascript.rhino.jstype.UnionType,,,,
Closure,170,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FlowSensitiveInlineVariables,,,,
Closure,171,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeInference;com.google.javascript.jscomp.TypedScopeCreator,,,,
Closure,172,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypedScopeCreator,,,,
Closure,173,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeGenerator;com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,,,,
Closure,174,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.JsAst;com.google.javascript.jscomp.NodeUtil;com.google.javascript.jscomp.ScopedAliases,,,,
Closure,175,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FunctionInjector,,,,
Closure,176,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeInference,,,,
Codec,12,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.codec.binary.BaseNCodecInputStream,,,,
Codec,14,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.codec.language.bm.Lang;org.apache.commons.codec.language.bm.PhoneticEngine;org.apache.commons.codec.language.bm.Rule;src.main.resources.org.apache.commons.codec.language.bm.ash_lang.txt;src.main.resources.org.apache.commons.codec.language.bm.gen_lang.txt;src.main.resources.org.apache.commons.codec.language.bm.sep_lang.txt,,,,
Codec,16,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.codec.binary.Base32,,,,
Collections,1,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections.map.Flat3Map,,,,
Collections,6,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections.map.Flat3Map,,,,
Collections,8,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections.buffer.UnboundedFifoBuffer,,,,
Collections,8,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,org.apache.commons.collections.buffer.UnboundedFifoBuffer,Deepseek-v4_flash\TestCode\Collections_8b\UnboundedFifoBufferDeepseekTest.java,org.apache.commons.collections.buffer,Deepseek-v4_flash\TestCode\Collections_8b\UnboundedFifoBufferDeepseekTest.java,a29345e99be9ec0b6c0f3f78f167e22f6a4c64d981d7a3581bcc645a1abcc606
Collections,8,Gemini 3.8 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,org.apache.commons.collections.buffer.UnboundedFifoBuffer,Gemini-3_8_flash\TestCode\Collections_8b\UnboundedFifoBufferGeminiTest.java,org.apache.commons.collections.buffer,Gemini-3_8_flash\TestCode\Collections_8b\UnboundedFifoBufferGeminiTest.java,ab6d7934e3a3d4ff7814ca7e0ce457d8591aa533ff78b2c610a7e576101d2fa1
Collections,14,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections.map.CaseInsensitiveMap,,,,
Collections,18,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections.set.ListOrderedSet,,,,
Collections,19,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections.list.SetUniqueList,,,,
Collections,20,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections.list.TreeList,,,,
Collections,21,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections4.list.SetUniqueList,,,,
Collections,22,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections4.map.ListOrderedMap,,,,
Collections,23,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections4.trie.UnmodifiableTrie,,,,
Collections,24,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections4.collection.UnmodifiableBoundedCollection,,,,
Collections,25,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections4.IteratorUtils,,,,
Collections,28,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.collections4.trie.AbstractPatriciaTrie,,,,
Compress,1,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,,,,
Compress,3,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,,,,
Compress,4,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream;org.apache.commons.compress.archivers.tar.TarArchiveOutputStream;org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream;org.apache.commons.compress.changes.ChangeSetPerformer,,,,
Compress,6,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.zip.ZipArchiveEntry,,,,
Compress,9,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,,,,
Compress,10,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.zip.ZipFile,,,,
Compress,11,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.ArchiveStreamFactory,,,,
Compress,13,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.zip.ZipArchiveEntry,,,,
Compress,15,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.zip.ZipArchiveEntry,,,,
Compress,16,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.ArchiveStreamFactory,,,,
Compress,18,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,,,,
Compress,19,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField,,,,
Compress,21,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.sevenz.SevenZOutputFile,,,,
Compress,23,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.sevenz.Coders,,,,
Compress,34,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.zip.X7875_NewUnix,,,,
Compress,40,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.utils.BitInputStream,,,,
Compress,42,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.zip.UnixStat;org.apache.commons.compress.archivers.zip.ZipArchiveEntry,,,,
Compress,43,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,,,,
Compress,44,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.utils.ChecksumCalculatingInputStream,,,,
Compress,46,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.compress.archivers.zip.X5455_ExtendedTimestamp,,,,
Csv,2,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.csv.CSVRecord,,,,
Csv,3,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.csv.Lexer,,,,
Csv,4,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.csv.CSVParser,,,,
Csv,5,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.csv.CSVPrinter,,,,
Csv,6,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.csv.CSVRecord,,,,
Csv,7,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.csv.CSVParser,,,,
Csv,8,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.csv.CSVFormat,,,,
Csv,9,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.csv.CSVRecord,,,,
Csv,10,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.csv.CSVPrinter,,,,
Csv,11,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.csv.CSVParser,,,,
Csv,12,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.csv.CSVFormat,,,,
Csv,16,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.csv.CSVParser,,,,
Gson,1,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.TypeInfoFactory,,,,
Gson,2,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.internal.bind.TypeAdapters,,,,
Gson,3,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.internal.ConstructorConstructor,,,,
Gson,3,MIO (EvoSuite SBST),Member 2 — MIO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.internal.ConstructorConstructor,,,,
Gson,4,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.stream.JsonReader;com.google.gson.stream.JsonWriter,,,,
Gson,6,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory,,,,
Gson,7,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.stream.JsonReader,,,,
Gson,8,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.internal.UnsafeAllocator,,,,
Gson,8,MIO (EvoSuite SBST),Member 2 — MIO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.internal.UnsafeAllocator,,,,
Gson,9,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.internal.bind.JsonTreeWriter;com.google.gson.internal.bind.TypeAdapters;com.google.gson.stream.JsonWriter,,,,
Gson,10,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,,,,
Gson,11,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.internal.bind.TypeAdapters,,,,
Gson,12,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.internal.bind.JsonTreeReader,,,,
Gson,13,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.stream.JsonReader,,,,
Gson,15,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.stream.JsonWriter,,,,
Gson,17,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.gson.DefaultDateTypeAdapter,,,,
JacksonCore,4,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.fasterxml.jackson.core.util.TextBuffer,,,,
JacksonCore,5,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.fasterxml.jackson.core.JsonPointer,,,,
JacksonCore,6,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.fasterxml.jackson.core.JsonPointer,,,,
